id_student,id_course,date_init,date_end,calification
1052349868,1,2021-02-01T05:00:00.000Z,2021-02-10T05:00:00.000Z,2
1053175832,1,2020-11-27T05:00:00.000Z,2020-12-10T05:00:00.000Z,1
1052620306,1,2020-11-27T05:00:00.000Z,2020-12-10T05:00:00.000Z,5
1054807890,1,2020-11-27T05:00:00.000Z,2020-12-10T05:00:00.000Z,5
1052545474,1,2020-11-27T05:00:00.000Z,2020-12-10T05:00:00.000Z,5
1054726635,1,2020-11-27T05:00:00.000Z,2020-12-10T05:00:00.000Z,4
1053787377,2,2020-11-27T05:00:00.000Z,2020-12-10T05:00:00.000Z,5
1052620306,2,2020-11-27T05:00:00.000Z,2020-12-10T05:00:00.000Z,3
1053175832,2,2020-11-27T05:00:00.000Z,2020-12-10T05:00:00.000Z,3.5
1054807890,2,2020-11-27T05:00:00.000Z,2020-12-10T05:00:00.000Z,4
1052545474,2,2020-11-27T05:00:00.000Z,2020-12-10T05:00:00.000Z,2
1054726635,2,2020-11-27T05:00:00.000Z,2020-12-10T05:00:00.000Z,5
1053175832,3,2021-02-01T05:00:00.000Z,2021-02-10T05:00:00.000Z,2
1052620306,3,2021-01-11T05:00:00.000Z,2021-01-30T05:00:00.000Z,1
1054807890,3,2021-01-11T05:00:00.000Z,2021-01-30T05:00:00.000Z,3
1052545474,3,2021-01-11T05:00:00.000Z,2021-01-30T05:00:00.000Z,2
1054726635,3,2021-01-11T05:00:00.000Z,2021-01-30T05:00:00.000Z,2
1053175832,4,2021-01-11T05:00:00.000Z,2021-01-30T05:00:00.000Z,2
1052620306,4,2021-01-11T05:00:00.000Z,2021-01-30T05:00:00.000Z,3
1054807890,4,2021-01-11T05:00:00.000Z,2021-01-30T05:00:00.000Z,4
1052545474,4,2021-01-11T05:00:00.000Z,2021-01-30T05:00:00.000Z,1
1054726635,4,2021-01-11T05:00:00.000Z,2021-01-30T05:00:00.000Z,5
1053175832,5,2021-01-11T05:00:00.000Z,2021-01-30T05:00:00.000Z,4
1052620306,5,2021-01-11T05:00:00.000Z,2021-01-30T05:00:00.000Z,5
1054807890,5,2021-01-11T05:00:00.000Z,2021-01-30T05:00:00.000Z,5
1052545474,5,2021-01-11T05:00:00.000Z,2021-01-30T05:00:00.000Z,5
1054726635,5,2021-01-11T05:00:00.000Z,2021-01-30T05:00:00.000Z,4
